name,email,birthday,group_id,phone,type
Alice,alice@gmail.com,2000-05-10,1,111111111,mobile
Bob,bob@gmail.com,1999-02-15,2,222222222,work
Charlie,charlie@gmail.com,2001-01-01,3,333333333,home
David,david@yahoo.com,1998-07-20,2,444444444,work
Emma,emma@gmail.com,2002-03-12,1,555555555,mobile
Frank,frank@mail.com,1997-11-30,4,666666666,home
Grace,grace@gmail.com,2000-09-09,3,777777777,mobile
Henry,henry@yahoo.com,1996-05-25,2,888888888,work
Isabella,isabella@gmail.com,2003-08-14,1,999999999,mobile
Jack,jack@mail.com,1995-12-01,4,101010101,home
Kate,kate@gmail.com,2001-04-18,3,121212121,mobile
Leo,leo@yahoo.com,1999-06-22,2,131313131,work
Mia,mia@gmail.com,2002-10-05,1,141414141,mobile
Noah,noah@mail.com,1998-01-17,4,151515151,home
Olivia,olivia@gmail.com,2000-02-28,3,161616161,mobile
Paul,paul@yahoo.com,1997-09-03,2,171717171,work
Quinn,quinn@mail.com,2003-07-11,4,181818181,home
Rose,rose@gmail.com,2001-12-24,1,191919191,mobile
Sam,sam@yahoo.com,1996-03-30,2,202020202,work
Tina,tina@gmail.com,2002-06-16,3,212121212,mobile
